"English" "French" "Word.type" "Example" "Translation"
"countryside" "campagne  " "feminine noun " "les gens allaient dormir à la campagne " "people were going into the countryside to sleep "
"to be born" "naître  " "verb " "il était né lui-même dans une famille de onze enfants " "he himself was born into a family of eleven children "
"to grant" "accorder  " "verb " "les banques ont cessé d'accorder des prêts " "the banks stopped granting loans "
"to turn" "tourner  " "verb " "je trouvai un commutateur et le tournai " "I found a switch and turned it "
"to participate" "participer  " "verb " "elle a participé à la création du Mouvement " "she participated in creation of the Movement "
"old" "vieux  " "adjective (no distinct plural),masculine noun (no distinct plural) " "ça fait trop longtemps, mon vieil ami " "it has been too long, my old friend "
"fast, quick" "rapide  " "noun/adjective (no distinct feminine) " "elle parle d'une voix rapide et menue " "she talks in a rapid and small voice "
"to respect" "respecter  " "verb " "j'avais le pouvoir. j'étais respecté " "I had power. I was respected "
"passage, way" "passage  " "masculine noun " "je lirai seulement un petit passage " "I will only read a short passage "
"essential" "essentiel  " "noun/adjective " "ils sont tous désignés comme employés essentiels " "they are all designated essential employees "
"to adopt" "adopter  " "verb " "j'hésite pour ma part à adopter l'idée " "I for one hesitate to adopt the idea "
"to undergo, be subjected to, suffer" "subir  " "verb " "certaines autres ont subi de terribles ravages " "certain others suffered terrible ravages "
"about, thereabouts, or so" "environ  " "adverb,preposition,masculine noun " "mon père et ma mère sont mariés depuis environ 60 ans " "my father and mother have been married for about 60 years "
"experience" "expérience  " "feminine noun " "ça va te donner de l'expérience " "this will give you experience "
"to admit" "admettre  " "verb " "je dois admettre que je suis toujours célibataire " "I must admit that I'm still single "
"to discover" "découvrir  " "verb " "la sœur a découvert la fenêtre cassée " "the sister discovered the broken window "
"to cover" "couvrir  " "verb " "il était couvert de taches de sang " "he was covered by blood stains "
"to attend; to assist, help" "assister  " "verb " "il assista à la dernière répétition " "he attended the last rehearsal "
"senator" "sénateur  " "masculine noun " "les honorables sénateurs ont été si généreux " "the honourable senators were very generous "
"to pass, go beyond" "dépasser  " "verb " "personne ne dépasse son potentiel " "no one exceeds his potential "
"to affirm, maintain, declare, allege" "affirmer  " "verb " "ce témoin a affirmé avoir vu trois hommes " "this witness alleged to have seen three men "
"to submit" "soumettre  " "verb " "de retour chez eux, elle l'a soumis à un ultime test " "back at their place, she put him to the final test "
"financial, financier" "financier  " "noun/adjective " "j'ai aussi travaillé dans le monde financier " "I also worked in the financial sector "
"process" "processus  " "masculine noun (no distinct plural) " "j'ai été renseigné à chaque étape du processus " "I was kept informed at each stage of the process "
"military" "militaire  " "noun/adjective (no distinct feminine) " "la justice militaire me donne le droit à un avocat " "the military code of justice grants me the right to an attorney "
"cool, fresh; fee, expense" "frais  " "adjective (no distinct plural),masculine noun (no distinct plural) " "on me paie mes frais de déplacement " "my travel expenses are being covered "
"industry" "industrie  " "feminine noun " "le tourisme est une industrie saisonnière " "tourism is a seasonal industry "
"to appear" "apparaître  " "verb " "son nom apparaissait dans une autre liste " "her name appeared on another list "
"responsibility" "responsabilité  " "feminine noun " "il porte la seule responsabilité " "he alone is responsible "
"to reserve, keep" "réserver  " "verb " "je veux ce que l'avenir me réserve " "I want what the future is keeping from me "
"door" "porte  " "feminine noun " "veuillez fermer la porte derrière vous " "please close the door after you "
"victim" "victime  " "feminine noun " "nos prières vont aux victimes " "our prayers go out to the victims "
"territory" "territoire  " "masculine noun " "c'est eux autres qui occupent le territoire " "they are the ones who are occupying the territory "
"poor" "pauvre  " "noun/adjective (no distinct feminine) " "vous êtes idiote, ma pauvre femme, comme toujours " "you're an idiot, my poor woman, as always "
"rate" "taux  " "masculine noun (no distinct plural) " "les taux d'intérêt ont notablement haussé " "interest rates have risen appreciably "
"to organize" "organiser  " "verb " "on pensait t'organiser une fête d'anniversaire " "we were thinking of organizing a birthday party for you "
"to possess, own, have" "posséder  " "verb " "je possède les coupures de presse vous concernant " "I have the press clippings about you "
"material, equipment" "matériel  " "noun/adjective " "nous avons déjà du nouveau matériel en chantier " "we already have new equipment on the construction site "
"one hundred, cent" "cent  " "determiner,masculine noun " "aucun des cinq cents voyageurs n'a été blessé " "none of the five hundred travellers was injured "
"to note, notice; to establish, certify" "constater  " "verb " "je constate de ce fait " "I notice that fact "
"to pronounce" "prononcer  " "verb " "je ne devrais même pas prononcer ces mots " "I should not even pronounce those words "
"sign" "signe  " "masculine noun " "cependant, il y a des signes encourageants " "yet there are encouraging signs "
"white" "blanc  " "adjective,masculine noun " "tu es donc noir à rayures blanches. dilemme résolu " "so you are black with white stripes. dilemma resolved "
"origin, source" "origine  " "feminine noun " "la guérilla n'est pas à l'origine de la violence " "the insurgency isn't the source of the violence "
"to sell" "vendre  " "verb " "non, vous ne pouvez pas vendre votre bétail " "no, you may not sell your livestock "
"fast, quickly" "vite  " "adverb " "déployez les sentinelles ... vite! " "dispatch the guards ... quick! "
"language, tongue" "langue  " "feminine noun " "tu maîtrises bien la langue " "you're mastering the language well "
"dangerous" "dangereux  " "adjective (no distinct plural) " "ce type est dangereux " "this guy is dangerous "
"to move, displace" "déplacer  " "verb " "nous nous déplaçons librement entre les deux pays " "we travel freely between the two countries "
"importance" "importance  " "feminine noun " "cela n'a pas d'importance " "that isn't important "
"to be sufficient, suffice" "suffire  " "verb " "bon, ça suffit " "OK, that's enough "
"hope" "espoir  " "masculine noun " "hélas, ce n'était qu'un espoir " "alas, it was only a hope "
"more" "davantage  " "adverb " "nous sentons tous que nous devons travailler davantage " "we sense that we must work more "
"to take hold of, grab" "saisir  " "verb " "le reflet du miroir saisit son regard " "the mirror's reflection captured her face "
"energy" "énergie  " "feminine noun " "l'énergie est le pivot de notre économie " "energy is the lynchpin of our society "
"network" "réseau  " "masculine noun " "ce réseau peut me servir à établir des contacts " "this network might help me establish contacts "
"to die" "mourir  " "verb " "ma foi, je meurs de faim " "goodness, I'm dying of hunger "
"weak" "faible  " "noun/adjective (no distinct feminine) " "je devenais de plus en plus faible " "I became progressively weaker "
"to use, employ" "employer  " "verb " "vous en employez beaucoup, de ces intellos gonflants " "you sure employ a lot of these stuffy eggheads "
"possibility" "possibilité  " "feminine noun " "il va avoir la possibilité d'influencer son passé " "he will be able to influence his past "
"special" "spécial  " "adjective " "je fais rien de spécial " "I'm not doing anything special "
"to accompany" "accompagner  " "verb " "que Dieu vous accompagne " "may God be with you "
"at present, at the moment" "actuellement  " "adverb " "je suis très seul actuellement " "I'm very alone at the moment "
"union" "union  " "feminine noun " "cette définition devrait comprendre les unions homosexuelles et lesbiennes " "this definition should include homosexual and lesbian unions "
"to suppose, assume" "supposer  " "verb " "je suppose qu'ils ont peur " "I imagine they are afraid "
"to provide, supply" "fournir  " "verb " "elle ne souhaitait fournir aucun effort " "she didn't want to provide any efforts "
"this" "ceci  " "pronoun " "tout ceci est votre création " "this is all your creation "
"to require, demand" "exiger  " "verb " "une vie publique exige de nombreux sacrifices " "public life requires many sacrifices "
"to intervene" "intervenir  " "verb " "il doit intervenir sur le marché " "he must intervene in the market "
"son" "fils  " "masculine noun (no distinct plural) " "votre fils est en entraînement pour devenir soldat " "your son is in training to become a soldier "
"okay, alright" "d'accord  " "interjection " "je m'en occupe, d'accord? " "I'll take care of it, OK? "
